Constructor,D.O.B,Driver,Grid Pos,Nationality,Podium,Points,Round,Season,Status,Time,Track,URL
lago,1916-08-11,claes,19,Belgian,7,0.0,2,1950,+6 Laps,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
ferrari,1909-05-16,villoresi,6,Italian,8,0.0,2,1950,Axle,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
lago,1896-12-28,etancelin,4,French,9,0.0,2,1950,Oil leak,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
maserati,1922-10-05,gonzalez,3,Argentine,10,0.0,2,1950,Accident,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
alfa,1906-10-30,farina,2,Italian,11,0.0,2,1950,Accident,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
alfa,1898-06-09,fagioli,5,Italian,12,0.0,2,1950,Accident,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
lago,1905-11-05,rosier,10,French,13,0.0,2,1950,Accident,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
simca,1917-04-12,manzon,11,French,14,0.0,2,1950,Accident,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
maserati,1914-05-18,graffenried,12,Swiss,15,0.0,2,1950,Accident,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
simca,1917-10-30,trintignant,13,French,16,0.0,2,1950,Accident,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
era,1906-07-06,harrison,14,British,17,0.0,2,1950,Accident,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
maserati,1908-06-05,rol,17,Italian,18,0.0,2,1950,Accident,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
cooper,1921-06-29,schell,20,American,19,0.0,2,1950,Collision,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
ferrari,1914-11-12,whitehead,21,British,20,0.0,2,1950,Engine,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
maserati,1912-10-21,pian,18,Argentine,21,0.0,2,1950,Accident,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
kurtis_kraft,1918-07-04,parsons,5,American,1,9.0,3,1950,Finished,10015970.0,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
deidt,1907-12-18,holland,10,American,2,6.0,3,1950,+1 Lap,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
deidt,1906-05-26,rose,3,American,3,4.0,3,1950,+1 Lap,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1919-09-30,green,12,American,4,3.0,3,1950,+1 Lap,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1912-04-14,chitwood,9,American,5,1.0,3,1950,+2 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1916-09-12,bettenhausen,9,American,5,1.0,3,1950,+2 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
moore,1910-09-07,wallard,23,American,6,0.0,3,1950,+2 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1920-02-16,faulkner,1,American,7,0.0,3,1950,+3 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
lesovsky,1906-08-16,george_connor,4,American,8,0.0,3,1950,+3 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
nichels,1914-04-10,paul_russo,19,American,9,0.0,3,1950,+3 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1926-01-06,flaherty,11,American,10,0.0,3,1950,+3 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
marchese,1912-06-17,fohr,16,American,11,0.0,3,1950,+5 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
stevens,1913-05-05,darter,13,American,12,0.0,3,1950,+5 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1915-09-14,hellings,26,American,13,0.0,3,1950,+6 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1919-10-08,mcgrath,6,American,14,0.0,3,1950,Spun off,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
lesovsky,1930-03-11,ruttman,24,American,15,0.0,3,1950,+8 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
langley,1926-01-28,hartley,31,American,16,0.0,3,1950,+10 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
ewing,1929-08-08,davies,27,American,17,0.0,3,1950,+10 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1915-01-29,mcdowell,33,American,18,0.0,3,1950,+10 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1911-12-30,walt_brown,20,American,19,0.0,3,1950,+11 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
maserati,1910-10-08,webb,14,American,20,0.0,3,1950,+12 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1929-01-29,hoyt,15,American,21,0.0,3,1950,+13 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
rae,1913-12-15,ader,29,American,22,0.0,3,1950,+15 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
olson,1920-09-04,holmes,30,American,23,0.0,3,1950,Spun off,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
wetteroth,1928-07-16,rathmann,28,American,24,0.0,3,1950,+16 Laps,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
maserati,1913-06-14,banks,21,American,25,0.0,3,1950,Oil line,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
snowberger,1909-03-06,schindler,22,American,26,0.0,3,1950,Transmission,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
adams,1914-02-14,levrett,17,American,27,0.0,3,1950,Oil pressure,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
adams,1908-01-31,cantrell,17,American,27,0.0,3,1950,Oil pressure,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
kurtis_kraft,1913-08-21,agabashian,2,American,28,0.0,3,1950,Oil leak,,indianapolis,http://en.wikipedia.org/wiki/1950_Indianapolis_500
alfa,1906-10-30,farina,2,Italian,1,9.0,4,1950,Finished,7373700.0,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
alfa,1898-06-09,fagioli,3,Italian,2,6.0,4,1950,Finished,7374100.0,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
lago,1905-11-05,rosier,10,French,3,4.0,4,1950,+1 Lap,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
maserati,1914-07-15,bira,8,Thai,4,3.0,4,1950,+2 Laps,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
maserati,1903-06-09,bonetto,12,Italian,5,2.0,4,1950,+2 Laps,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
maserati,1914-05-18,graffenried,11,Swiss,6,0.0,4,1950,+2 Laps,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
maserati,1911-10-11,pagani,15,Italian,7,0.0,4,1950,+3 Laps,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
lago,1921-06-29,schell,18,American,8,0.0,4,1950,+3 Laps,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
maserati,1899-08-03,chiron,16,Monegasque,9,0.0,4,1950,+3 Laps,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
lago,1916-08-11,claes,14,Belgian,10,0.0,4,1950,+4 Laps,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
maserati,1916-09-15,branca,17,Swiss,11,0.0,4,1950,+7 Laps,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
alfa,1911-06-24,fangio,1,Argentine,12,0.0,4,1950,Engine,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
lago,1896-12-28,etancelin,6,French,13,0.0,4,1950,Gearbox,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
lago,1915-03-24,martin,9,French,14,0.0,4,1950,Accident,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
ferrari,1906-08-31,sommer,13,French,15,0.0,4,1950,Suspension,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
ferrari,1909-05-16,villoresi,4,Italian,16,0.0,4,1950,Engine,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
ferrari,1918-07-13,ascari,5,Italian,17,0.0,4,1950,Oil pump,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
lago,1904-10-08,cabantous,7,French,18,0.0,4,1950,Accident,,bremgarten,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
alfa,1911-06-24,fangio,2,Argentine,1,8.0,5,1950,Finished,10046000.0,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
alfa,1898-06-09,fagioli,3,Italian,2,6.0,5,1950,Finished,10060000.0,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
lago,1905-11-05,rosier,8,French,3,4.0,5,1950,Finished,10185000.0,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
alfa,1906-10-30,farina,1,Italian,4,4.0,5,1950,Finished,10291000.0,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
ferrari,1918-07-13,ascari,7,Italian,5,2.0,5,1950,+1 Lap,,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
ferrari,1909-05-16,villoresi,4,Italian,6,0.0,5,1950,+2 Laps,,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
lago,1905-12-22,levegh,10,French,7,0.0,5,1950,+2 Laps,,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
lago,1916-08-11,claes,14,Belgian,8,0.0,5,1950,+3 Laps,,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
alta,1921-05-11,crossley,12,British,9,0.0,5,1950,+5 Laps,,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
maserati,1916-09-15,branca,11,Swiss,10,0.0,5,1950,+6 Laps,,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
lago,1907-04-12,chaboud,13,French,11,0.0,5,1950,Oil pipe,,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
lago,1906-08-31,sommer,5,French,12,0.0,5,1950,Oil pressure,,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
lago,1896-12-28,etancelin,6,French,13,0.0,5,1950,Overheating,,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
lago,1904-10-08,cabantous,9,French,14,0.0,5,1950,Oil pipe,,spa,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
alfa,1911-06-24,fangio,1,Argentine,1,9.0,6,1950,Finished,10672800.0,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
alfa,1898-06-09,fagioli,3,Italian,2,6.0,6,1950,Finished,10698500.0,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
ferrari,1914-11-12,whitehead,18,British,3,4.0,6,1950,+3 Laps,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
simca,1917-04-12,manzon,12,French,4,3.0,6,1950,+3 Laps,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
lago,1907-04-12,chaboud,4,French,5,1.0,6,1950,+5 Laps,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
lago,1896-12-28,etancelin,4,French,5,1.0,6,1950,+5 Laps,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
lago,1909-08-27,pozzi,15,French,6,0.0,6,1950,+8 Laps,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
lago,1905-11-05,rosier,15,French,6,0.0,6,1950,+8 Laps,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
alfa,1906-10-30,farina,2,Italian,7,0.0,6,1950,Fuel pump,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
lago,1904-10-08,cabantous,5,French,8,0.0,6,1950,+12 Laps,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
lago,1905-12-22,levegh,9,French,9,0.0,6,1950,Engine,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
maserati,1903-06-09,bonetto,10,Italian,10,0.0,6,1950,Engine,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
lago,1916-08-11,claes,14,Belgian,11,0.0,6,1950,Overheating,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
lago,1905-11-05,rosier,6,French,12,0.0,6,1950,Overheating,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
maserati,1911-07-02,reg_parnell,11,British,13,0.0,6,1950,Engine,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
maserati,1908-06-05,rol,7,Italian,14,0.0,6,1950,Engine,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
maserati,1899-08-03,chiron,13,Monegasque,15,0.0,6,1950,Engine,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
maserati,1917-12-29,hampshire,17,British,16,0.0,6,1950,Engine,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
lago,1906-08-31,sommer,16,French,17,0.0,6,1950,Overheating,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
maserati,1922-10-05,gonzalez,8,Argentine,18,0.0,6,1950,Engine,,reims,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
alfa,1906-10-30,farina,3,Italian,1,8.0,7,1950,Finished,10277400.0,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
ferrari,1909-07-22,serafini,6,Italian,2,3.0,7,1950,Finished,10356000.0,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
ferrari,1918-07-13,ascari,6,Italian,2,3.0,7,1950,Finished,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
alfa,1898-06-09,fagioli,5,Italian,3,4.0,7,1950,Finished,10373000.0,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
lago,1905-11-05,rosier,13,French,4,3.0,7,1950,+5 Laps,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
lago,1896-12-28,etancelin,16,French,5,2.0,7,1950,+5 Laps,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
maserati,1914-05-18,graffenried,17,Swiss,6,0.0,7,1950,+8 Laps,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
ferrari,1914-11-12,whitehead,18,British,7,0.0,7,1950,+8 Laps,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
maserati,1909-12-28,murray,24,British,8,0.0,7,1950,Gearbox,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
era,1906-07-06,harrison,21,British,9,0.0,7,1950,Radiator,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
lago,1906-08-31,sommer,8,French,10,0.0,7,1950,Gearbox,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
lago,1910-08-10,guy_mairesse,11,French,11,0.0,7,1950,Oil pipe,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
maserati,1908-06-05,rol,9,Italian,12,0.0,7,1950,Retired,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
alfa,1911-06-24,fangio,7,Argentine,13,0.0,7,1950,Engine,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
alfa,1906-10-12,taruffi,7,Italian,13,0.0,7,1950,Engine,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
lago,1905-12-22,levegh,20,French,14,0.0,7,1950,Gearbox,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
alfa,1911-06-24,fangio,1,Argentine,15,1.0,7,1950,Gearbox,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
lago,1916-08-11,claes,22,Belgian,16,0.0,7,1950,Overheating,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
ferrari,1918-07-13,ascari,2,Italian,17,0.0,7,1950,Engine,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
ferrari,1898-08-18,biondetti,25,Italian,18,0.0,7,1950,Engine,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
lago,1910-01-25,louveau,16,French,19,0.0,7,1950,Brakes,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
maserati,1906-07-24,comotti,26,Italian,20,0.0,7,1950,Retired,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
simca,1917-10-30,trintignant,12,French,21,0.0,7,1950,Water pipe,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
maserati,1899-08-03,chiron,19,Monegasque,22,0.0,7,1950,Oil pressure,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
alfa,1911-03-28,sanesi,4,Italian,23,0.0,7,1950,Engine,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
simca,1917-04-12,manzon,10,French,24,0.0,7,1950,Transmission,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
maserati,1914-07-15,bira,15,Thai,25,0.0,7,1950,Engine,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
maserati,1911-06-20,pietsch,27,German,26,0.0,7,1950,Engine,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
milano,1903-06-09,bonetto,23,Italian,27,0.0,7,1950,Withdrew,,monza,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
alfa,1911-06-24,fangio,1,Argentine,1,9.0,1,1951,Finished,7673640.0,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
ferrari,1906-10-12,taruffi,6,Italian,2,6.0,1,1951,Finished,7728880.0,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
alfa,1906-10-30,farina,2,Italian,3,4.0,1,1951,Finished,7752950.0,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
alfa,1911-03-28,sanesi,4,Italian,4,3.0,1,1951,+1 Lap,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
alfa,1914-05-18,graffenried,5,Swiss,5,2.0,1,1951,+2 Laps,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
ferrari,1918-07-13,ascari,7,Italian,6,0.0,1,1951,+2 Laps,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
maserati,1899-08-03,chiron,19,Monegasque,7,0.0,1,1951,+2 Laps,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
hwm,1929-09-17,moss,14,British,8,0.0,1,1951,+2 Laps,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
lago,1905-11-05,rosier,8,French,9,0.0,1,1951,+3 Laps,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
lago,1896-12-28,etancelin,12,French,10,0.0,1,1951,+3 Laps,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
ferrari,1912-04-19,fischer,10,Swiss,11,0.0,1,1951,+3 Laps,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
maserati,1921-06-29,schell,17,American,12,0.0,1,1951,+4 Laps,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
lago,1916-08-11,claes,18,Belgian,13,0.0,1,1951,+7 Laps,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
lago,1910-08-10,guy_mairesse,21,French,14,0.0,1,1951,+11 Laps,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
ferrari,1914-11-12,whitehead,9,British,15,0.0,1,1951,Accident,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
lago,1910-01-25,louveau,11,French,16,0.0,1,1951,Accident,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
hwm,1913-03-21,abecassis,20,British,17,0.0,1,1951,Magneto,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
lago,1904-10-08,cabantous,15,French,18,0.0,1,1951,Ignition,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
ferrari,1909-05-16,villoresi,3,Italian,19,0.0,1,1951,Accident,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
lago,1922-10-05,gonzalez,13,Argentine,20,0.0,1,1951,Oil pump,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
veritas,1910-03-30,hirt,16,Swiss,21,0.0,1,1951,Fuel system,,bremgarten,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
kurtis_kraft,1910-09-07,wallard,2,American,1,9.0,2,1951,Finished,14258050.0,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
kurtis_kraft,1921-10-02,nazaruk,7,American,2,6.0,2,1951,Finished,14365290.0,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
kurtis_kraft,1919-10-08,mcgrath,3,American,3,2.0,2,1951,Finished,14429440.0,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
kurtis_kraft,1921-10-20,ayulo,3,American,3,2.0,2,1951,Finished,14429440.0,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
sherman,1922-04-05,linden,31,American,4,3.0,2,1951,Finished,14538170.0,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
schroeder,1925-08-26,ball,29,American,5,2.0,2,1951,Finished,14550280.0,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
moore,1913-06-14,banks,17,American,6,0.0,2,1951,Finished,14598070.0,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
kurtis_kraft,1911-03-04,forberg,24,American,7,0.0,2,1951,+7 Laps,,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
deidt,1913-05-05,darter,4,American,8,0.0,2,1951,+20 Laps,,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
deidt,1916-09-12,bettenhausen,9,American,9,0.0,2,1951,Spun off,,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
kurtis_kraft,1913-03-02,nalon,1,American,10,0.0,2,1951,Retired,,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
kurtis_kraft,1916-06-15,force,22,American,11,0.0,2,1951,Engine,,indianapolis,http://en.wikipedia.org/wiki/1951_Indianapolis_500
