Round: 0,Country,Date,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
91,Portugal,1960-08-14,N/A,0,0,0,0,0
92,Italy,1960-09-04,N/A,0,0,0,0,0
93,USA,1960-11-20,Temperatures up to 75.9 °F (24.4 °C); wind speeds up to 9.9 miles per hour (15.9 km/h)[1],0,0,0,0,0
94,Monaco,1961-05-14,Sunny,11,0,0,0,0
95,Netherlands,1961-05-22,Sunny,11,0,0,0,0
96,Belgium,1961-06-18,Sunny,11,0,0,0,0
97,France,1961-07-02,Sunny,11,0,0,0,0
98,UK,1961-07-15,N/A,0,0,0,0,0
99,Germany,1961-08-06,Wet,0,0,0,11,0
100,Italy,1961-09-10,Sunny,11,0,0,0,0
101,USA,1961-10-08,Temperatures up to 72 °F (22 °C); wind speeds up to 8.9 miles per hour (14.3 km/h)[1],0,0,0,0,0
102,Netherlands,1962-05-20,N/A,0,0,0,0,0
103,Monaco,1962-06-03,Cloudy,0,0,0,0,11
104,Belgium,1962-06-17,Sunny,11,0,0,0,0
105,France,1962-07-08,Sunny,11,0,0,0,0
106,UK,1962-07-21,Sunny,11,0,0,0,0
107,Germany,1962-08-05,Heavy rain showers,0,0,0,11,0
108,Italy,1962-09-16,"Dry, with rain later",0,0,0,11,0
109,USA,1962-10-07,Sunny,11,0,0,0,0
110,South Africa,1962-12-29,"Dry, windy",0,0,0,0,0
111,Monaco,1963-05-26,"Warm, dry and sunny",11,0,11,0,0
112,Belgium,1963-06-09,Wet and overcast,0,0,0,11,11
113,Netherlands,1963-06-23,Sunny,11,0,0,0,0
114,France,1963-06-30,"Sunny, then rain",0,0,0,11,0
115,UK,1963-07-20,"Warm, dry and sunny",11,0,11,0,0
116,Germany,1963-08-04,"Warm, dry and sunny",11,0,11,0,0
117,Italy,1963-09-08,"Warm, dry and sunny",11,0,11,0,0
118,USA,1963-10-06,Sunny,11,0,0,0,0
119,Mexico,1963-10-27,"Overcast, dry",0,0,11,0,0
120,South Africa,1963-12-28,"Hot, dry and windy",0,0,11,0,0
121,Monaco,1964-05-10,N/A,0,0,0,0,0
122,Netherlands,1964-05-24,Dry,0,0,11,0,0
123,Belgium,1964-06-14,Dry,0,0,11,0,0
124,France,1964-06-28,Dry,0,0,11,0,0
125,UK,1964-07-11,"Warm, dry",0,0,11,0,0
126,Germany,1964-08-02,Dry,0,0,11,0,0
127,Austria,1964-08-23,Dry,0,0,11,0,0
128,Italy,1964-09-06,Dry,0,0,11,0,0
129,USA,1964-10-04,"Sunny, warm",11,0,0,0,0
130,Mexico,1964-10-25,N/A,0,0,0,0,0
131,South Africa,1965-01-01,N/A,0,0,0,0,0
132,Monaco,1965-05-30,N/A,0,0,0,0,0
133,Belgium,1965-06-13,Heavy rain,0,0,0,11,0
134,France,1965-06-27,N/A,0,0,0,0,0
135,UK,1965-07-10,"Warm, dry and overcast",0,0,11,0,11
136,Netherlands,1965-07-18,N/A,0,0,0,0,0
137,Germany,1965-08-01,Overcast and dry,0,0,11,0,11
138,Italy,1965-09-12,N/A,0,0,0,0,0
139,USA,1965-10-03,"Rainy, windy, cold",0,11,0,0,0
140,Mexico,1965-10-24,N/A,0,0,0,0,0
141,Monaco,1966-05-22,"Overcast, Mild, Dry",0,0,11,0,0
142,Belgium,1966-06-12,Overcast and wet,0,0,0,11,11
143,France,1966-07-03,"Hot, dry",0,0,11,0,0
144,UK,1966-07-16,"Wet, drying later",0,0,0,0,0
145,Netherlands,1966-07-24,"Sunny, Mild, Dry",0,0,11,0,0
146,Germany,1966-08-07,Overcast and wet,0,0,0,11,11
147,Italy,1966-09-04,"Warm, dry and sunny",11,0,11,0,0
148,USA,1966-10-02,"Cool, dry",0,0,11,0,0
149,Mexico,1966-10-23,"Warm, clear",11,0,0,0,0
150,South Africa,1967-01-02,N/A,0,0,0,0,0
151,Monaco,1967-05-07,N/A,0,0,0,0,0
152,Netherlands,1967-06-04,N/A,0,0,0,0,0
153,Belgium,1967-06-18,N/A,0,0,0,0,0
154,France,1967-07-02,N/A,0,0,0,0,0
155,UK,1967-07-15,N/A,0,0,0,0,0
156,Germany,1967-08-06,"Warm, dry and sunny",11,0,11,0,0
157,Canada,1967-08-27,N/A,0,0,0,0,0
158,Italy,1967-09-10,"Warm, dry",0,0,11,0,0
159,USA,1967-10-01,Sunny,11,0,0,0,0
160,Mexico,1967-10-22,N/A,0,0,0,0,0
161,South Africa,1968-01-01,"Very hot, dry",0,0,11,0,0
162,Spain,1968-05-12,"Hot, Dry",0,0,11,0,0
163,Monaco,1968-05-26,"Sunny, Mild, Dry",0,0,11,0,0
164,Belgium,1968-06-09,"Overcast, Dry",0,0,11,0,0
165,Netherlands,1968-06-23,Showers,0,0,0,11,0
166,France,1968-07-07,Wet,0,0,0,11,0
167,UK,1968-07-20,"Hot, Dry",0,0,11,0,0
168,Germany,1968-08-04,"Hazy, Wet",0,0,0,11,0
169,Italy,1968-09-08,"Hot, Dry",0,0,11,0,0
170,Canada,1968-09-22,Sunny with temperatures reaching up to 27.8 °C (82.0 °F) and wind speeds up to 10.1 kilometres per hour (6.3 mph); no precipitation reported throughout the day[1],11,0,0,0,0
171,USA,1968-10-06,Temperatures reaching a maximum of 51.1 °F (10.6 °C); wind speeds up to 14 miles per hour (23 km/h)[1],0,0,0,0,0
172,Mexico,1968-11-03,"Sunny, Mild, Dry",0,0,11,0,0
173,South Africa,1969-03-01,"Hot, Dry",0,0,11,0,0
174,Spain,1969-05-04,"Sunny, mild, dry",0,0,11,0,0
175,Monaco,1969-05-18,"Overcast, mild, dry",0,0,11,0,0
176,Netherlands,1969-06-21,"Sunny, mild, dry",0,0,11,0,0
177,France,1969-07-06,"Sunny, mild, dry",0,0,11,0,0
178,UK,1969-07-19,"Overcast, dry",0,0,11,0,0
179,Germany,1969-08-03,N/A,0,0,0,0,0
180,Italy,1969-09-07,"Sunny, Dry",0,0,11,0,0
181,Canada,1969-09-20,Mild with temperatures approaching 21.1 °C (70.0 °F); wind speeds up to 10.1 kilometres per hour (6.3 mph)[1],11,0,0,0,0
182,USA,1969-10-05,Dry with temperatures reaching up to 64 °F (18 °C); wind speeds up to 10.1 miles per hour (16.3 km/h)[1],0,0,11,0,0
183,Mexico,1969-10-19,Warm and dry,11,0,11,0,0
184,South Africa,1970-03-07,"Very hot, Dry",0,0,11,0,0
185,Spain,1970-04-19,"Very hot, Dry",0,0,11,0,0
186,Monaco,1970-05-10,Sunny and warm,11,0,0,0,0
187,Belgium,1970-06-07,N/A,0,0,0,0,0
188,Netherlands,1970-06-21,Cloudy,0,0,0,0,11
189,France,1970-07-05,Overcast,0,0,0,0,11
190,UK,1970-07-18,N/A,0,0,0,0,0
191,Germany,1970-08-02,N/A,0,0,0,0,0
192,Austria,1970-08-16,N/A,0,0,0,0,0
193,Italy,1970-09-06,"Sunny, Dry",0,0,11,0,0
194,Canada,1970-09-20,Mild with temperatures approaching 23.3 °C (73.9 °F); winds gusting up to 10.1 kilometres per hour (6.3 mph)[1],11,0,0,0,0
195,USA,1970-10-04,Cloudy and dry with temperatures reaching up to 50 °F (10 °C); winds gusting up to 15.9 miles per hour (25.6 km/h)[1],0,0,11,0,11
196,Mexico,1970-10-25,N/A,0,0,0,0,0
197,South Africa,1971-03-06,"Sunny, Hot, Dry",0,0,11,0,0
198,Spain,1971-04-18,"Sunny, Hot, Dry",0,0,11,0,0
199,Monaco,1971-05-23,Overcast,0,0,0,0,11
200,Netherlands,1971-06-20,Wet,0,0,0,11,0
201,France,1971-07-04,N/A,0,0,0,0,0
202,UK,1971-07-17,"Overcast, dry",0,0,11,0,0
203,Germany,1971-08-01,N/A,0,0,0,0,0
204,Austria,1971-08-15,Dry,0,0,11,0,0
205,Italy,1971-09-05,N/A,0,0,0,0,0
206,Canada,1971-09-19,Chilly with temperatures approaching 17.8 °C (64.0 °F); wind speeds up to 8 kilometres per hour (5.0 mph)[1],0,11,0,0,0
207,USA,1971-10-03,Dry,0,0,11,0,0
208,Argentina,1972-01-23,N/A,0,0,0,0,0
209,South Africa,1972-03-04,"Sunny, Hot, Dry",0,0,11,0,0
210,Spain,1972-05-01,N/A,0,0,0,0,0
211,Monaco,1972-05-14,Wet,0,0,0,11,0
212,Belgium,1972-06-04,N/A,0,0,0,0,0
213,France,1972-07-02,N/A,0,0,0,0,0
214,UK,1972-07-15,"Warm, dry",0,0,11,0,0
215,Germany,1972-07-30,N/A,0,0,0,0,0
216,Austria,1972-08-13,"Sunny, hot",11,0,0,0,0
217,Italy,1972-09-10,Dry and sunny,11,0,11,0,0
218,Canada,1972-09-24,Mild with temperatures approaching 22.8 °C (73.0 °F); wind speeds up to 12 kilometres per hour (7.5 mph)[1],11,0,0,0,0
219,USA,1972-10-08,"Sunny at start, brief showers late",11,0,0,11,0
220,Argentina,1973-01-28,N/A,0,0,0,0,0
221,Brazil,1973-02-11,Partly cloudy and hot,11,0,0,0,11
222,South Africa,1973-03-03,"Sunny, Hot, Dry",0,0,11,0,0
223,Spain,1973-04-29,"Sunny, Hot, Dry",0,0,11,0,0
224,Belgium,1973-05-20,"Warm, dry",0,0,11,0,0
225,Monaco,1973-06-03,N/A,0,0,0,0,0
226,Sweden,1973-06-17,N/A,0,0,0,0,0
227,France,1973-07-01,N/A,0,0,0,0,0
228,UK,1973-07-14,Dry,0,0,11,0,0
229,Netherlands,1973-07-29,N/A,0,0,0,0,0
230,Germany,1973-08-05,Dry,0,0,11,0,0
231,Austria,1973-08-19,N/A,0,0,0,0,0
232,Italy,1973-09-09,N/A,0,0,0,0,0
233,Canada,1973-09-23,Mild with temperatures approaching 22.2 °C (72.0 °F); wind speeds up to 11.8 kilometres per hour (7.3 mph)[1],11,0,0,0,0
234,USA,1973-10-07,Cloudy with temperatures approaching 68 °F (20 °C); wind speeds up to 8 miles per hour (13 km/h)[1],0,0,0,0,11
235,Argentina,1974-01-13,Hot and sunny,11,0,0,0,0
236,Brazil,1974-01-27,"Cloudy and dry in the first phase, then seasonal monsoon later.",0,0,11,0,11
237,South Africa,1974-03-30,N/A,0,0,0,0,0
238,Spain,1974-04-28,N/A,0,0,0,0,0
239,Belgium,1974-05-12,N/A,0,0,0,0,0
240,Monaco,1974-05-26,N/A,0,0,0,0,0
241,Sweden,1974-06-09,N/A,0,0,0,0,0
242,Netherlands,1974-06-23,N/A,0,0,0,0,0
243,France,1974-07-07,N/A,0,0,0,0,0
244,UK,1974-07-20,N/A,0,0,0,0,0
245,Germany,1974-08-04,"Overcast, showers",0,0,0,11,0
246,Austria,1974-08-18,N/A,0,0,0,0,0
247,Italy,1974-09-08,N/A,0,0,0,0,0
248,Canada,1974-09-22,N/A,0,0,0,0,0
249,USA,1974-10-06,"Clear, warm",11,0,0,0,0
250,Argentina,1975-01-12,Hot and sunny,11,0,0,0,0
251,Brazil,1975-01-26,Hot and dry,11,0,11,0,0
252,South Africa,1975-03-01,Sunny,11,0,0,0,0
253,Spain,1975-04-27,N/A,0,0,0,0,0
254,Monaco,1975-05-11,"Rain, later drying",0,0,0,0,0
255,Belgium,1975-05-25,Dry and sunny,11,0,11,0,0
256,Sweden,1975-06-08,Dry,0,0,11,0,0
257,Netherlands,1975-06-22,"Wet, drying later",0,0,0,0,0
258,France,1975-07-06,Dry and sunny,11,0,11,0,0
259,UK,1975-07-19,"Sunny, then overcast, then heavy rain",0,0,0,11,0
260,Germany,1975-08-03,Dry and sunny,11,0,11,0,0
261,Austria,1975-08-17,Heavy rain,0,0,0,11,0
262,Italy,1975-09-07,Dry and sunny,11,0,11,0,0
263,USA,1975-10-05,Partly sunny with temperatures reaching a maximum of 69.1 °F (20.6 °C); wind speeds up to 14 miles per hour (23 km/h)[1],11,0,0,0,0
264,Brazil,1976-01-25,Sunny,11,0,0,0,0
265,South Africa,1976-03-06,Sunny,11,0,0,0,0
266,USA,1976-03-28,Hot and sunny with temperatures reaching up to 70 °F (21 °C); wind speeds approaching speeds up to 15 miles per hour (24 km/h)[2],11,0,0,0,0
267,Spain,1976-05-02,N/A,0,0,0,0,0
268,Belgium,1976-05-16,N/A,0,0,0,0,0
269,Monaco,1976-05-30,Dry,0,0,11,0,0
270,Sweden,1976-06-13,Dry,0,0,11,0,0
271,France,1976-07-04,N/A,0,0,0,0,0
272,UK,1976-07-18,Dry,0,0,11,0,0
273,Germany,1976-08-01,"Rain at start, later drying",0,0,0,11,0
274,Austria,1976-08-15,N/A,0,0,0,0,0
275,Netherlands,1976-08-29,"Warm, dry",0,0,11,0,0
276,Italy,1976-09-12,N/A,0,0,0,0,0
277,Canada,1976-10-03,Mild with temperatures approaching 22 °C (72 °F); wind speeds up to 8.9 kilometres per hour (5.5 mph)[2],11,0,0,0,0
278,USA,1976-10-10,Sunny with temperatures reaching up to 61 °F (16 °C); winds gusting up to 15.9 miles per hour (25.6 km/h)[2],11,0,0,0,0
279,Japan,1976-10-24,N/A,0,0,0,0,0
280,Argentina,1977-01-09,Dry,0,0,11,0,0
281,Brazil,1977-01-23,N/A,0,0,0,0,0
282,South Africa,1977-03-05,Sunny,11,0,0,0,0
283,USA,1977-04-03,Sunny with temperatures reaching up to 68 °F (20 °C); winds gusting up to 10.9 miles per hour (17.5 km/h)[1],11,0,0,0,0
284,Spain,1977-05-08,N/A,0,0,0,0,0
285,Monaco,1977-05-22,Dry,0,0,11,0,0
286,Belgium,1977-06-05,Wet,0,0,0,11,0
287,Sweden,1977-06-19,Dry,0,0,11,0,0
288,France,1977-07-03,Dry,0,0,11,0,0
289,UK,1977-07-16,Sunny,11,0,0,0,0
290,Germany,1977-07-31,N/A,0,0,0,0,0
291,Austria,1977-08-14,"Wet, then drying",0,0,0,0,0
292,Netherlands,1977-08-28,Dry,0,0,11,0,0
293,Italy,1977-09-11,Dry,0,0,11,0,0
294,USA,1977-10-02,Rain with temperatures reaching up to 63 °F (17 °C); winds gusting up to 12.8 miles per hour (20.6 km/h)[1],0,0,0,11,0
295,Canada,1977-10-09,Cold with temperatures approaching 12 °C (54 °F); wind speeds up to 12.8 kilometres per hour (8.0 mph)[1],0,11,0,0,0
296,Japan,1977-10-23,Dry,0,0,11,0,0
297,Argentina,1978-01-15,Dry,0,0,11,0,0
298,Brazil,1978-01-29,Dry,0,0,11,0,0
299,South Africa,1978-03-04,Dry,0,0,11,0,0
300,USA,1978-04-02,Scattered clouds 17 °C (63 °F)[1],0,0,0,0,11
301,Monaco,1978-05-07,Dry,0,0,11,0,0
302,Belgium,1978-05-21,Dry,0,0,11,0,0
303,Spain,1978-06-04,Dry,0,0,11,0,0
304,Sweden,1978-06-17,Sunny and warm,11,0,0,0,0
305,France,1978-07-02,Dry,0,0,11,0,0
306,UK,1978-07-16,Dry,0,0,11,0,0
307,Germany,1978-07-30,Dry,0,0,11,0,0
308,Austria,1978-08-13,Wet,0,0,0,11,0
309,Netherlands,1978-08-27,Dry,0,0,11,0,0
310,Italy,1978-09-10,Sunny,11,0,0,0,0
311,USA,1978-10-01,"Cloudy, dry",0,0,11,0,0
312,Canada,1978-10-08,Mostly cloudy and cold5 °C (41 °F)[1],0,0,0,0,11
313,Argentina,1979-01-21,Dry,0,0,11,0,0
314,Brazil,1979-02-04,Dry,0,0,11,0,0
315,South Africa,1979-03-03,Wet,0,0,0,11,0
316,USA,1979-04-08,N/A,0,0,0,0,0
317,Spain,1979-04-29,N/A,0,0,0,0,0
318,Belgium,1979-05-13,Dry,0,0,11,0,0
319,Monaco,1979-05-27,Dry,0,0,11,0,0
320,France,1979-07-01,Dry,0,0,11,0,0
321,UK,1979-07-14,Dry,0,0,11,0,0
322,Germany,1979-07-29,Dry,0,0,11,0,0
323,Austria,1979-08-12,Dry,0,0,11,0,0
324,Netherlands,1979-08-26,Dry,0,0,11,0,0
325,Italy,1979-09-09,Dry and sunny,11,0,11,0,0
326,Canada,1979-09-30,"Partially cloudy, mild and dry with temperatures reaching up to 21 °C (70 °F); wind speeds up to 18.3 kilometres per hour (11.4 mph)[1]",11,0,11,0,0
327,USA,1979-10-07,Rain with temperatures reaching a maximum of 59 °F (15 °C); wind speeds up to 15 miles per hour (24 km/h)[1],0,0,0,11,0
328,Argentina,1980-01-13,N/A,0,0,0,0,0
329,Brazil,1980-01-27,Dry,0,0,11,0,0
330,South Africa,1980-03-01,Dry,0,0,11,0,0
331,USA,1980-03-30,Sunny and warm with temperatures reaching up to 81 °F (27 °C); wind speeds up to 10.9 miles per hour (17.5 km/h)[1],11,0,0,0,0
332,Belgium,1980-05-04,Dry,0,0,11,0,0
333,Monaco,1980-05-18,N/A,0,0,0,0,0
334,France,1980-06-29,N/A,0,0,0,0,0
335,UK,1980-07-13,N/A,0,0,0,0,0
336,Germany,1980-08-10,"Overcast, Dry",0,0,11,0,0
337,Austria,1980-08-17,"Mild, Dry",0,0,11,0,0
338,Netherlands,1980-08-31,"Sunny, Mild, Dry",0,0,11,0,0
339,Italy,1980-09-14,"Sunny, Mild, Dry",0,0,11,0,0
340,Canada,1980-09-28,N/A,0,0,0,0,0
341,USA,1980-10-05,Cloudy and dry with temperatures reaching up to 54 °F (12 °C); wind speeds up to 8 miles per hour (13 km/h)[1],0,0,11,0,11
342,USA,1981-03-15,Sunny and warm with temperatures reaching up to 71.1 °F (21.7 °C); wind speeds approaching 10.9 miles per hour (17.5 km/h)[1],11,0,0,0,0
343,Brazil,1981-03-29,"Overcast, Fresh, Rain",0,0,0,11,0
344,Argentina,1981-04-12,"Sunny, Hot, Dry",0,0,11,0,0
345,Italy,1981-05-03,"Rain, cold",0,11,0,0,0
346,Belgium,1981-05-17,Wet/Dry,0,0,0,0,0
347,Monaco,1981-05-31,Dry,0,0,11,0,0
348,Spain,1981-06-21,"Sunny, hot",11,0,0,0,0
349,France,1981-07-05,Wet,0,0,0,11,0
350,UK,1981-07-18,Dry,0,0,11,0,0
351,Germany,1981-08-02,Wet / Dry,0,0,11,11,0
352,Austria,1981-08-16,"Mild, Dry",0,0,11,0,0
353,Netherlands,1981-08-30,"Sunny, Dry",0,0,11,0,0
354,Italy,1981-09-13,Dry and sunny,11,0,11,0,0
355,Canada,1981-09-27,N/A,0,0,0,0,0
356,USA,1981-10-17,Sunny with temperatures reaching up to 75 °F (24 °C); wind speeds approaching speeds up to 11.1 miles per hour (17.9 km/h)[1],11,0,0,0,0
357,South Africa,1982-01-23,Dry,0,0,11,0,0
358,Brazil,1982-03-21,Dry,0,0,11,0,0
359,USA,1982-04-04,N/A,0,0,0,0,0
360,Italy,1982-04-25,N/A,0,0,0,0,0
361,Belgium,1982-05-09,Cold with air temperatures reaching up to 13 °C (55 °F)[1],0,11,0,0,0
362,Monaco,1982-05-23,"Dry, then Wet",0,0,0,11,0
363,USA,1982-06-06,Sunny and warm with temperatures reaching up to 72 °F (22 °C); wind speeds up to 16.1 miles per hour (25.9 km/h)[1],11,0,0,0,0
364,Canada,1982-06-13,Overcast and chilly17 °C (63 °F)[1],0,0,0,0,11
365,Netherlands,1982-07-03,Cloudy,0,0,0,0,11
366,UK,1982-07-18,N/A,0,0,0,0,0
367,France,1982-07-25,Dry,0,0,11,0,0
368,Germany,1982-08-08,Dry,0,0,11,0,0
369,Austria,1982-08-15,"Sunny, hot",11,0,0,0,0
370,France,1982-08-29,Dry,0,0,11,0,0
371,Italy,1982-09-12,Dry,0,0,11,0,0
372,USA,1982-09-25,N/A,0,0,0,0,0
373,Brazil,1983-03-13,N/A,0,0,0,0,0
374,USA,1983-03-27,Sunny and warm with temperatures reaching up to 65.8 °F (18.8 °C); wind speeds approaching speeds up to 9.9 miles per hour (15.9 km/h)[1],11,0,0,0,0
375,France,1983-04-17,N/A,0,0,0,0,0
376,Italy,1983-05-01,N/A,0,0,0,0,0
377,Monaco,1983-05-15,Wet track at the start,0,0,0,11,0
378,Belgium,1983-05-22,N/A,0,0,0,0,0
379,USA,1983-06-05,Sunny and warm with temperatures reaching up to 76.8 °F (24.9 °C); wind speeds up to 11.3 miles per hour (18.2 km/h)[1],11,0,0,0,0
380,Canada,1983-06-12,Warm with temperatures approaching 30 °C (86 °F); wind speeds up to 15 kilometres per hour (9.3 mph)[1],11,0,0,0,0
381,UK,1983-07-16,N/A,0,0,0,0,0
382,Germany,1983-08-07,Dry,0,0,11,0,0
383,Austria,1983-08-14,Dry,0,0,11,0,0
384,Netherlands,1983-08-28,Cloudy,0,0,0,0,11
385,Italy,1983-09-11,Dry,0,0,11,0,0
386,UK,1983-09-25,Dry,0,0,11,0,0
387,South Africa,1983-10-15,Dry,0,0,11,0,0
388,Brazil,1984-03-25,Dry,0,0,11,0,0
389,South Africa,1984-04-07,Dry,0,0,11,0,0
390,Belgium,1984-04-29,N/A,0,0,0,0,0
391,Italy,1984-05-06,N/A,0,0,0,0,0
392,France,1984-05-20,Dry,0,0,11,0,0
393,Monaco,1984-06-03,Heavy rain and spray,0,0,0,11,0
394,Canada,1984-06-17,Dry with temperatures approaching 26 °C (79 °F); wind speeds up to 12.9 kilometres per hour (8.0 mph)[1],0,0,11,0,0
395,USA,1984-06-24,Sunny and warm with temperatures reaching up to 77.9 °F (25.5 °C); wind speeds up to 11.3 miles per hour (18.2 km/h)[1],11,0,0,0,0
396,USA,1984-07-08,Sunny with temperatures reaching up to 100 °F (38 °C); wind speeds approaching speeds up to 14 miles per hour (23 km/h)[1],11,0,0,0,0
397,UK,1984-07-22,N/A,0,0,0,0,0
398,Germany,1984-08-05,Dry,0,0,11,0,0
399,Austria,1984-08-19,Dry,0,0,11,0,0
400,Netherlands,1984-08-26,Sunny,11,0,0,0,0
401,Italy,1984-09-09,Dry,0,0,11,0,0
402,Germany,1984-10-07,Sunny,11,0,0,0,0
403,Portugal,1984-10-21,Dry,0,0,11,0,0
404,Brazil,1985-04-07,Dry,0,0,11,0,0
405,Portugal,1985-04-21,"Overcast, Cold, Rain",0,0,0,11,0
406,Italy,1985-05-05,N/A,0,0,0,0,0
407,Monaco,1985-05-19,Dry,0,0,11,0,0
408,Canada,1985-06-16,Sunny with temperatures approaching 20.5 °C (68.9 °F); wind speeds up to 12.9 kilometres per hour (8.0 mph)[1],11,0,0,0,0
