,Driver,Driver Points,Driver Standings,Driver Wins,Round,Season
13759,herbert,5.0,11,0,11,1989
13760,cesaris,4.0,12,0,11,1989
13761,gugelmin,4.0,13,0,11,1989
13762,modena,4.0,14,0,11,1989
13763,caffi,4.0,15,0,11,1989
13764,danner,3.0,16,0,11,1989
13765,alesi,3.0,17,0,11,1989
13766,johansson,2.0,18,0,11,1989
13767,martini,2.0,19,0,11,1989
13768,arnoux,2.0,20,0,11,1989
13769,grouillard,1.0,21,0,11,1989
13770,tarquini,1.0,22,0,11,1989
13771,palmer,1.0,23,0,11,1989
13772,brundle,1.0,24,0,11,1989
13773,sala,1.0,25,0,11,1989
13774,satoru_nakajima,0.0,26,0,11,1989
13775,pirro,0.0,27,0,11,1989
13776,capelli,0.0,28,0,11,1989
13777,bernard,0.0,29,0,11,1989
13778,gachot,0.0,30,0,11,1989
13779,prost,71.0,1,4,12,1989
13780,senna,51.0,2,5,12,1989
13781,mansell,38.0,3,2,12,1989
13782,patrese,28.0,4,0,12,1989
13783,boutsen,24.0,5,1,12,1989
13784,nannini,14.0,6,0,12,1989
13785,piquet,9.0,7,0,12,1989
13786,berger,6.0,8,0,12,1989
13787,cheever,6.0,9,0,12,1989
13788,alboreto,6.0,10,0,12,1989
13789,warwick,6.0,11,0,12,1989
13790,alesi,5.0,12,0,12,1989
13791,herbert,5.0,13,0,12,1989
13792,cesaris,4.0,14,0,12,1989
13793,gugelmin,4.0,15,0,12,1989
13794,modena,4.0,16,0,12,1989
13795,caffi,4.0,17,0,12,1989
13796,danner,3.0,18,0,12,1989
13797,martini,2.0,19,0,12,1989
13798,johansson,2.0,20,0,12,1989
13799,arnoux,2.0,21,0,12,1989
13800,brundle,2.0,22,0,12,1989
13801,grouillard,1.0,23,0,12,1989
13802,tarquini,1.0,24,0,12,1989
13803,palmer,1.0,25,0,12,1989
13804,sala,1.0,26,0,12,1989
13805,satoru_nakajima,0.0,27,0,12,1989
13806,pirro,0.0,28,0,12,1989
13807,capelli,0.0,29,0,12,1989
13808,bernard,0.0,30,0,12,1989
13809,prost,75.0,1,4,13,1989
13810,senna,51.0,2,5,13,1989
13811,mansell,38.0,3,2,13,1989
13812,patrese,28.0,4,0,13,1989
13813,boutsen,24.0,5,1,13,1989
13814,nannini,17.0,6,0,13,1989
13815,berger,15.0,7,1,13,1989
13816,piquet,9.0,8,0,13,1989
13817,cheever,6.0,9,0,13,1989
13818,johansson,6.0,10,0,13,1989
13819,alboreto,6.0,11,0,13,1989
13820,warwick,6.0,12,0,13,1989
13821,alesi,5.0,13,0,13,1989
13822,herbert,5.0,14,0,13,1989
13823,cesaris,4.0,15,0,13,1989
13824,gugelmin,4.0,16,0,13,1989
13825,modena,4.0,17,0,13,1989
13826,caffi,4.0,18,0,13,1989
13827,martini,4.0,19,0,13,1989
13828,danner,3.0,20,0,13,1989
13829,arnoux,2.0,21,0,13,1989
13830,palmer,2.0,22,0,13,1989
13831,brundle,2.0,23,0,13,1989
13832,grouillard,1.0,24,0,13,1989
13833,tarquini,1.0,25,0,13,1989
13834,sala,1.0,26,0,13,1989
13835,satoru_nakajima,0.0,27,0,13,1989
13836,pirro,0.0,28,0,13,1989
13837,alliot,0.0,29,0,13,1989
13838,capelli,0.0,30,0,13,1989
13839,prost,76.0,1,4,14,1989
13840,senna,60.0,2,6,14,1989
13841,mansell,38.0,3,2,14,1989
13842,patrese,30.0,4,0,14,1989
13843,boutsen,24.0,5,1,14,1989
13844,berger,21.0,6,1,14,1989
13845,nannini,17.0,7,0,14,1989
13846,piquet,9.0,8,0,14,1989
13847,alesi,8.0,9,0,14,1989
13848,cheever,6.0,10,0,14,1989
13849,johansson,6.0,11,0,14,1989
13850,alboreto,6.0,12,0,14,1989
13851,warwick,6.0,13,0,14,1989
13852,herbert,5.0,14,0,14,1989
13853,cesaris,4.0,15,0,14,1989
13854,gugelmin,4.0,16,0,14,1989
13855,modena,4.0,17,0,14,1989
13856,caffi,4.0,18,0,14,1989
13857,martini,4.0,19,0,14,1989
13858,danner,3.0,20,0,14,1989
13859,arnoux,2.0,21,0,14,1989
13860,palmer,2.0,22,0,14,1989
13861,brundle,2.0,23,0,14,1989
13862,grouillard,1.0,24,0,14,1989
13863,tarquini,1.0,25,0,14,1989
13864,sala,1.0,26,0,14,1989
13865,alliot,1.0,27,0,14,1989
13866,satoru_nakajima,0.0,28,0,14,1989
13867,pirro,0.0,29,0,14,1989
13868,capelli,0.0,30,0,14,1989
13869,prost,76.0,1,4,15,1989
13870,senna,60.0,2,6,15,1989
13871,mansell,38.0,3,2,15,1989
13872,patrese,36.0,4,0,15,1989
13873,boutsen,28.0,5,1,15,1989
13874,nannini,26.0,6,1,15,1989
13875,berger,21.0,7,1,15,1989
13876,piquet,12.0,8,0,15,1989
13877,alesi,8.0,9,0,15,1989
13878,warwick,7.0,10,0,15,1989
13879,cheever,6.0,11,0,15,1989
13880,johansson,6.0,12,0,15,1989
13881,alboreto,6.0,13,0,15,1989
13882,herbert,5.0,14,0,15,1989
13883,cesaris,4.0,15,0,15,1989
13884,gugelmin,4.0,16,0,15,1989
13885,modena,4.0,17,0,15,1989
13886,caffi,4.0,18,0,15,1989
13887,martini,4.0,19,0,15,1989
13888,brundle,4.0,20,0,15,1989
13889,danner,3.0,21,0,15,1989
13890,arnoux,2.0,22,0,15,1989
13891,palmer,2.0,23,0,15,1989
13892,grouillard,1.0,24,0,15,1989
13893,tarquini,1.0,25,0,15,1989
13894,sala,1.0,26,0,15,1989
13895,alliot,1.0,27,0,15,1989
13896,satoru_nakajima,0.0,28,0,15,1989
13897,pirro,0.0,29,0,15,1989
13898,capelli,0.0,30,0,15,1989
13899,prost,76.0,1,4,16,1989
13900,senna,60.0,2,6,16,1989
13901,patrese,40.0,3,0,16,1989
13902,mansell,38.0,4,2,16,1989
13903,boutsen,37.0,5,2,16,1989
13904,nannini,32.0,6,1,16,1989
13905,berger,21.0,7,1,16,1989
13906,piquet,12.0,8,0,16,1989
13907,alesi,8.0,9,0,16,1989
13908,warwick,7.0,10,0,16,1989
13909,cheever,6.0,11,0,16,1989
13910,johansson,6.0,12,0,16,1989
13911,alboreto,6.0,13,0,16,1989
13912,herbert,5.0,14,0,16,1989
13913,martini,5.0,15,0,16,1989
13914,gugelmin,4.0,16,0,16,1989
13915,cesaris,4.0,17,0,16,1989
13916,modena,4.0,18,0,16,1989
13917,caffi,4.0,19,0,16,1989
13918,brundle,4.0,20,0,16,1989
13919,satoru_nakajima,3.0,21,0,16,1989
13920,danner,3.0,22,0,16,1989
13921,pirro,2.0,23,0,16,1989
13922,arnoux,2.0,24,0,16,1989
13923,palmer,2.0,25,0,16,1989
13924,grouillard,1.0,26,0,16,1989
13925,tarquini,1.0,27,0,16,1989
13926,sala,1.0,28,0,16,1989
13927,alliot,1.0,29,0,16,1989
13928,capelli,0.0,30,0,16,1989
13929,senna,9.0,1,1,1,1990
13930,alesi,6.0,2,0,1,1990
13931,boutsen,4.0,3,0,1,1990
13932,piquet,3.0,4,0,1,1990
13933,modena,2.0,5,0,1,1990
13934,satoru_nakajima,1.0,6,0,1,1990
13935,martini,0.0,7,0,1,1990
13936,bernard,0.0,8,0,1,1990
13937,patrese,0.0,9,0,1,1990
13938,alboreto,0.0,10,0,1,1990
13939,nannini,0.0,11,0,1,1990
13940,schneider,0.0,12,0,1,1990
13941,moreno,0.0,13,0,1,1990
13942,gugelmin,0.0,14,0,1,1990
13943,barilla,0.0,15,0,1,1990
13944,suzuki,0.0,16,0,1,1990
13945,mansell,0.0,17,0,1,1990
13946,berger,0.0,18,0,1,1990
13947,foitek,0.0,19,0,1,1990
13948,grouillard,0.0,20,0,1,1990
13949,cesaris,0.0,21,0,1,1990
13950,prost,0.0,22,0,1,1990
13951,capelli,0.0,23,0,1,1990
13952,warwick,0.0,24,0,1,1990
13953,larini,0.0,25,0,1,1990
13954,donnelly,0.0,26,0,1,1990
13955,johansson,0.0,27,0,1,1990
13956,morbidelli,0.0,28,0,1,1990
13957,lehto,0.0,29,0,1,1990
13958,tarquini,0.0,30,0,1,1990
13959,senna,13.0,1,1,2,1990
13960,prost,9.0,2,1,2,1990
13961,alesi,6.0,3,0,2,1990
13962,berger,6.0,4,0,2,1990
13963,boutsen,6.0,5,0,2,1990
13964,piquet,4.0,6,0,2,1990
13965,mansell,3.0,7,0,2,1990
13966,modena,2.0,8,0,2,1990
13967,satoru_nakajima,1.0,9,0,2,1990
13968,martini,0.0,10,0,2,1990
13969,bernard,0.0,11,0,2,1990
13970,patrese,0.0,12,0,2,1990
13971,nannini,0.0,13,0,2,1990
13972,alboreto,0.0,14,0,2,1990
13973,larini,0.0,15,0,2,1990
13974,alliot,0.0,16,0,2,1990
13975,schneider,0.0,17,0,2,1990
13976,moreno,0.0,18,0,2,1990
13977,morbidelli,0.0,19,0,2,1990
13978,gugelmin,0.0,20,0,2,1990
13979,barilla,0.0,21,0,2,1990
13980,caffi,0.0,22,0,2,1990
13981,suzuki,0.0,23,0,2,1990
13982,donnelly,0.0,24,0,2,1990
13983,foitek,0.0,25,0,2,1990
13984,dalmas,0.0,26,0,2,1990
13985,warwick,0.0,27,0,2,1990
13986,grouillard,0.0,28,0,2,1990
13987,cesaris,0.0,29,0,2,1990
13988,capelli,0.0,30,0,2,1990
13989,senna,13.0,1,1,3,1990
13990,prost,12.0,2,1,3,1990
13991,berger,12.0,3,0,3,1990
13992,patrese,9.0,4,1,3,1990
13993,alesi,7.0,5,0,3,1990
13994,boutsen,6.0,6,0,3,1990
13995,piquet,6.0,7,0,3,1990
13996,nannini,4.0,8,0,3,1990
13997,mansell,3.0,9,0,3,1990
13998,modena,2.0,10,0,3,1990
13999,satoru_nakajima,1.0,11,0,3,1990
14000,martini,0.0,12,0,3,1990
14001,warwick,0.0,13,0,3,1990
14002,bernard,0.0,14,0,3,1990
14003,donnelly,0.0,15,0,3,1990
14004,alliot,0.0,16,0,3,1990
14005,larini,0.0,17,0,3,1990
14006,alboreto,0.0,18,0,3,1990
14007,barilla,0.0,19,0,3,1990
14008,lehto,0.0,20,0,3,1990
14009,schneider,0.0,21,0,3,1990
14010,moreno,0.0,22,0,3,1990
14011,gugelmin,0.0,23,0,3,1990
14012,morbidelli,0.0,24,0,3,1990
14013,grouillard,0.0,25,0,3,1990
14014,caffi,0.0,26,0,3,1990
14015,foitek,0.0,27,0,3,1990
14016,suzuki,0.0,28,0,3,1990
14017,cesaris,0.0,29,0,3,1990
14018,dalmas,0.0,30,0,3,1990
14019,senna,22.0,1,2,4,1990
14020,berger,16.0,2,0,4,1990
14021,alesi,13.0,3,0,4,1990
14022,prost,12.0,4,1,4,1990
14023,patrese,9.0,5,1,4,1990
14024,boutsen,9.0,6,0,4,1990
14025,piquet,6.0,7,0,4,1990
14026,nannini,4.0,8,0,4,1990
14027,mansell,3.0,9,0,4,1990
14028,caffi,2.0,10,0,4,1990
14029,modena,2.0,11,0,4,1990
14030,bernard,1.0,12,0,4,1990
14031,satoru_nakajima,1.0,13,0,4,1990
14032,martini,0.0,14,0,4,1990
14033,warwick,0.0,15,0,4,1990
14034,foitek,0.0,16,0,4,1990
14035,donnelly,0.0,17,0,4,1990
14036,alliot,0.0,18,0,4,1990
14037,larini,0.0,19,0,4,1990
14038,alboreto,0.0,20,0,4,1990
14039,barilla,0.0,21,0,4,1990
14040,lehto,0.0,22,0,4,1990
14041,schneider,0.0,23,0,4,1990
14042,moreno,0.0,24,0,4,1990
14043,gugelmin,0.0,25,0,4,1990
14044,morbidelli,0.0,26,0,4,1990
14045,cesaris,0.0,27,0,4,1990
14046,grouillard,0.0,28,0,4,1990
14047,suzuki,0.0,29,0,4,1990
14048,brabham,0.0,30,0,4,1990
14049,senna,31.0,1,3,5,1990
14050,berger,19.0,2,0,5,1990
14051,prost,14.0,3,1,5,1990
14052,alesi,13.0,4,0,5,1990
14053,piquet,12.0,5,0,5,1990
14054,patrese,9.0,6,1,5,1990
14055,boutsen,9.0,7,0,5,1990
14056,mansell,7.0,8,0,5,1990
14057,nannini,4.0,9,0,5,1990
14058,modena,2.0,10,0,5,1990
14059,caffi,2.0,11,0,5,1990
14060,warwick,1.0,12,0,5,1990
14061,bernard,1.0,13,0,5,1990
14062,satoru_nakajima,1.0,14,0,5,1990
14063,martini,0.0,15,0,5,1990
14064,foitek,0.0,16,0,5,1990
14065,donnelly,0.0,17,0,5,1990
14066,alliot,0.0,18,0,5,1990
14067,larini,0.0,19,0,5,1990
14068,capelli,0.0,20,0,5,1990
14069,alboreto,0.0,21,0,5,1990
14070,barilla,0.0,22,0,5,1990
14071,lehto,0.0,23,0,5,1990
14072,suzuki,0.0,24,0,5,1990
14073,schneider,0.0,25,0,5,1990
14074,grouillard,0.0,26,0,5,1990
14075,moreno,0.0,27,0,5,1990
14076,gugelmin,0.0,28,0,5,1990
14077,morbidelli,0.0,29,0,5,1990
14078,cesaris,0.0,30,0,5,1990
14079,senna,31.0,1,3,6,1990
14080,prost,23.0,2,2,6,1990
14081,berger,23.0,3,0,6,1990
14082,alesi,13.0,4,0,6,1990
14083,mansell,13.0,5,0,6,1990
14084,piquet,13.0,6,0,6,1990
14085,boutsen,11.0,7,0,6,1990
14086,patrese,9.0,8,1,6,1990
14087,nannini,7.0,9,0,6,1990
14088,modena,2.0,10,0,6,1990
14089,caffi,2.0,11,0,6,1990
14090,warwick,1.0,12,0,6,1990
14091,bernard,1.0,13,0,6,1990
14092,satoru_nakajima,1.0,14,0,6,1990
14093,martini,0.0,15,0,6,1990
14094,foitek,0.0,16,0,6,1990
14095,donnelly,0.0,17,0,6,1990
14096,alliot,0.0,18,0,6,1990
14097,larini,0.0,19,0,6,1990
14098,alboreto,0.0,20,0,6,1990
14099,capelli,0.0,21,0,6,1990
14100,barilla,0.0,22,0,6,1990
14101,lehto,0.0,23,0,6,1990
14102,suzuki,0.0,24,0,6,1990
14103,schneider,0.0,25,0,6,1990
14104,grouillard,0.0,26,0,6,1990
14105,cesaris,0.0,27,0,6,1990
14106,moreno,0.0,28,0,6,1990
14107,gugelmin,0.0,29,0,6,1990
14108,morbidelli,0.0,30,0,6,1990
14109,senna,35.0,1,3,7,1990
14110,prost,32.0,2,3,7,1990
14111,berger,25.0,3,0,7,1990
14112,piquet,16.0,4,0,7,1990
14113,alesi,13.0,5,0,7,1990
14114,mansell,13.0,6,0,7,1990
14115,boutsen,11.0,7,0,7,1990
14116,patrese,10.0,8,1,7,1990
14117,nannini,7.0,9,0,7,1990
14118,capelli,6.0,10,0,7,1990
14119,modena,2.0,11,0,7,1990
14120,caffi,2.0,12,0,7,1990
14121,warwick,1.0,13,0,7,1990
14122,bernard,1.0,14,0,7,1990
14123,satoru_nakajima,1.0,15,0,7,1990
14124,martini,0.0,16,0,7,1990
14125,suzuki,0.0,17,0,7,1990
14126,foitek,0.0,18,0,7,1990
14127,donnelly,0.0,19,0,7,1990
14128,alliot,0.0,20,0,7,1990
14129,alboreto,0.0,21,0,7,1990
14130,larini,0.0,22,0,7,1990
14131,barilla,0.0,23,0,7,1990
14132,lehto,0.0,24,0,7,1990
14133,schneider,0.0,25,0,7,1990
14134,grouillard,0.0,26,0,7,1990
14135,cesaris,0.0,27,0,7,1990
14136,moreno,0.0,28,0,7,1990
14137,gugelmin,0.0,29,0,7,1990
14138,morbidelli,0.0,30,0,7,1990
14139,prost,41.0,1,4,8,1990
14140,senna,39.0,2,3,8,1990
14141,berger,25.0,3,0,8,1990
14142,piquet,18.0,4,0,8,1990
14143,boutsen,17.0,5,0,8,1990
14144,alesi,13.0,6,0,8,1990
14145,mansell,13.0,7,0,8,1990
14146,patrese,10.0,8,1,8,1990
14147,nannini,7.0,9,0,8,1990
14148,capelli,6.0,10,0,8,1990
14149,bernard,4.0,11,0,8,1990
14150,caffi,2.0,12,0,8,1990
14151,modena,2.0,13,0,8,1990
14152,warwick,1.0,14,0,8,1990
14153,suzuki,1.0,15,0,8,1990
14154,satoru_nakajima,1.0,16,0,8,1990
14155,martini,0.0,17,0,8,1990
14156,foitek,0.0,18,0,8,1990
14157,donnelly,0.0,19,0,8,1990
14158,alliot,0.0,20,0,8,1990
14159,larini,0.0,21,0,8,1990
14160,alboreto,0.0,22,0,8,1990
14161,barilla,0.0,23,0,8,1990
14162,pirro,0.0,24,0,8,1990
14163,lehto,0.0,25,0,8,1990
14164,schneider,0.0,26,0,8,1990
14165,grouillard,0.0,27,0,8,1990
14166,cesaris,0.0,28,0,8,1990
14167,moreno,0.0,29,0,8,1990
14168,gugelmin,0.0,30,0,8,1990
14169,senna,48.0,1,4,9,1990
14170,prost,44.0,2,4,9,1990
14171,berger,29.0,3,0,9,1990
14172,boutsen,18.0,4,0,9,1990
14173,piquet,18.0,5,0,9,1990
14174,alesi,13.0,6,0,9,1990
14175,nannini,13.0,7,0,9,1990
14176,mansell,13.0,8,0,9,1990
14177,patrese,12.0,9,1,9,1990
14178,capelli,6.0,10,0,9,1990
14179,bernard,4.0,11,0,9,1990
14180,caffi,2.0,12,0,9,1990
14181,modena,2.0,13,0,9,1990
14182,warwick,1.0,14,0,9,1990
14183,suzuki,1.0,15,0,9,1990
14184,satoru_nakajima,1.0,16,0,9,1990
14185,martini,0.0,17,0,9,1990
14186,foitek,0.0,18,0,9,1990
14187,donnelly,0.0,19,0,9,1990
14188,alliot,0.0,20,0,9,1990
14189,larini,0.0,21,0,9,1990
14190,alboreto,0.0,22,0,9,1990
14191,barilla,0.0,23,0,9,1990
14192,pirro,0.0,24,0,9,1990
14193,lehto,0.0,25,0,9,1990
14194,schneider,0.0,26,0,9,1990
14195,grouillard,0.0,27,0,9,1990
14196,cesaris,0.0,28,0,9,1990
14197,moreno,0.0,29,0,9,1990
14198,gugelmin,0.0,30,0,9,1990
14199,senna,54.0,1,4,10,1990
14200,prost,44.0,2,4,10,1990
14201,berger,29.0,3,0,10,1990
14202,boutsen,27.0,4,1,10,1990
14203,piquet,22.0,5,0,10,1990
14204,patrese,15.0,6,1,10,1990
14205,alesi,13.0,7,0,10,1990
14206,nannini,13.0,8,0,10,1990
14207,mansell,13.0,9,0,10,1990
14208,capelli,6.0,10,0,10,1990
14209,bernard,5.0,11,0,10,1990
14210,warwick,3.0,12,0,10,1990
14211,caffi,2.0,13,0,10,1990
14212,modena,2.0,14,0,10,1990
14213,suzuki,1.0,15,0,10,1990
14214,satoru_nakajima,1.0,16,0,10,1990
14215,donnelly,0.0,17,0,10,1990
14216,martini,0.0,18,0,10,1990
14217,foitek,0.0,19,0,10,1990
14218,gugelmin,0.0,20,0,10,1990
14219,alliot,0.0,21,0,10,1990
14220,larini,0.0,22,0,10,1990
14221,alboreto,0.0,23,0,10,1990
14222,pirro,0.0,24,0,10,1990
14223,barilla,0.0,25,0,10,1990
14224,lehto,0.0,26,0,10,1990
14225,schneider,0.0,27,0,10,1990
14226,grouillard,0.0,28,0,10,1990
14227,cesaris,0.0,29,0,10,1990
14228,tarquini,0.0,30,0,10,1990
14229,senna,63.0,1,5,11,1990
14230,prost,50.0,2,4,11,1990
14231,berger,33.0,3,0,11,1990
14232,boutsen,27.0,4,1,11,1990
14233,piquet,24.0,5,0,11,1990
14234,nannini,16.0,6,0,11,1990
14235,patrese,15.0,7,1,11,1990
14236,alesi,13.0,8,0,11,1990
14237,mansell,13.0,9,0,11,1990
14238,capelli,6.0,10,0,11,1990
14239,bernard,5.0,11,0,11,1990
14240,warwick,3.0,12,0,11,1990
14241,caffi,2.0,13,0,11,1990
14242,modena,2.0,14,0,11,1990
14243,suzuki,1.0,15,0,11,1990
14244,satoru_nakajima,1.0,16,0,11,1990
14245,gugelmin,1.0,17,0,11,1990
14246,donnelly,0.0,18,0,11,1990
14247,martini,0.0,19,0,11,1990
14248,foitek,0.0,20,0,11,1990
14249,alliot,0.0,21,0,11,1990
14250,larini,0.0,22,0,11,1990
14251,alboreto,0.0,23,0,11,1990
14252,pirro,0.0,24,0,11,1990
14253,barilla,0.0,25,0,11,1990
14254,lehto,0.0,26,0,11,1990
14255,schneider,0.0,27,0,11,1990
14256,grouillard,0.0,28,0,11,1990
14257,cesaris,0.0,29,0,11,1990
14258,tarquini,0.0,30,0,11,1990
14259,senna,72.0,1,6,12,1990
14260,prost,56.0,2,4,12,1990
14261,berger,37.0,3,0,12,1990
14262,boutsen,27.0,4,1,12,1990
14263,piquet,24.0,5,0,12,1990
14264,patrese,17.0,6,1,12,1990
14265,nannini,16.0,7,0,12,1990
14266,mansell,16.0,8,0,12,1990
14267,alesi,13.0,9,0,12,1990
14268,capelli,6.0,10,0,12,1990
14269,bernard,5.0,11,0,12,1990
14270,warwick,3.0,12,0,12,1990
14271,caffi,2.0,13,0,12,1990
14272,modena,2.0,14,0,12,1990
14273,satoru_nakajima,2.0,15,0,12,1990
14274,suzuki,1.0,16,0,12,1990
14275,gugelmin,1.0,17,0,12,1990
14276,donnelly,0.0,18,0,12,1990
14277,martini,0.0,19,0,12,1990
14278,foitek,0.0,20,0,12,1990
14279,alliot,0.0,21,0,12,1990
14280,larini,0.0,22,0,12,1990
14281,alboreto,0.0,23,0,12,1990
14282,pirro,0.0,24,0,12,1990
14283,cesaris,0.0,25,0,12,1990
14284,barilla,0.0,26,0,12,1990
14285,lehto,0.0,27,0,12,1990
14286,schneider,0.0,28,0,12,1990
14287,grouillard,0.0,29,0,12,1990
14288,tarquini,0.0,30,0,12,1990
14289,senna,78.0,1,6,13,1990
14290,prost,60.0,2,4,13,1990
14291,berger,40.0,3,0,13,1990
14292,boutsen,27.0,4,1,13,1990
14293,piquet,26.0,5,0,13,1990
14294,mansell,25.0,6,1,13,1990
14295,patrese,17.0,7,1,13,1990
14296,nannini,17.0,8,0,13,1990
14297,alesi,13.0,9,0,13,1990
14298,capelli,6.0,10,0,13,1990
14299,bernard,5.0,11,0,13,1990
14300,warwick,3.0,12,0,13,1990
14301,caffi,2.0,13,0,13,1990
14302,modena,2.0,14,0,13,1990
14303,satoru_nakajima,2.0,15,0,13,1990
14304,suzuki,1.0,16,0,13,1990
14305,gugelmin,1.0,17,0,13,1990
14306,donnelly,0.0,18,0,13,1990
14307,martini,0.0,19,0,13,1990
14308,foitek,0.0,20,0,13,1990
14309,alliot,0.0,21,0,13,1990
14310,alboreto,0.0,22,0,13,1990
14311,larini,0.0,23,0,13,1990
14312,pirro,0.0,24,0,13,1990
14313,cesaris,0.0,25,0,13,1990
14314,barilla,0.0,26,0,13,1990
14315,lehto,0.0,27,0,13,1990
14316,schneider,0.0,28,0,13,1990
14317,grouillard,0.0,29,0,13,1990
14318,tarquini,0.0,30,0,13,1990
14319,senna,78.0,1,6,14,1990
14320,prost,69.0,2,5,14,1990
14321,berger,40.0,3,0,14,1990
14322,mansell,31.0,4,1,14,1990
14323,boutsen,30.0,5,1,14,1990
14324,piquet,26.0,6,0,14,1990
14325,nannini,21.0,7,0,14,1990
14326,patrese,19.0,8,1,14,1990
14327,alesi,13.0,9,0,14,1990
14328,capelli,6.0,10,0,14,1990
14329,bernard,5.0,11,0,14,1990
14330,warwick,3.0,12,0,14,1990
14331,caffi,2.0,13,0,14,1990
14332,modena,2.0,14,0,14,1990
14333,suzuki,2.0,15,0,14,1990
14334,satoru_nakajima,2.0,16,0,14,1990
14335,gugelmin,1.0,17,0,14,1990
14336,donnelly,0.0,18,0,14,1990
14337,martini,0.0,19,0,14,1990
14338,larini,0.0,20,0,14,1990
14339,foitek,0.0,21,0,14,1990
14340,alliot,0.0,22,0,14,1990
14341,alboreto,0.0,23,0,14,1990
14342,dalmas,0.0,24,0,14,1990
14343,pirro,0.0,25,0,14,1990
14344,cesaris,0.0,26,0,14,1990
14345,barilla,0.0,27,0,14,1990
14346,lehto,0.0,28,0,14,1990
14347,schneider,0.0,29,0,14,1990
14348,grouillard,0.0,30,0,14,1990
14349,senna,78.0,1,6,15,1990
14350,prost,69.0,2,5,15,1990
14351,berger,40.0,3,0,15,1990
14352,piquet,35.0,4,1,15,1990
14353,boutsen,32.0,5,1,15,1990
14354,mansell,31.0,6,1,15,1990
14355,patrese,22.0,7,1,15,1990
14356,nannini,21.0,8,0,15,1990
14357,alesi,13.0,9,0,15,1990
14358,capelli,6.0,10,0,15,1990
14359,moreno,6.0,11,0,15,1990
14360,suzuki,6.0,12,0,15,1990
14361,bernard,5.0,13,0,15,1990
14362,warwick,3.0,14,0,15,1990
14363,satoru_nakajima,3.0,15,0,15,1990
14364,caffi,2.0,16,0,15,1990
14365,modena,2.0,17,0,15,1990
14366,gugelmin,1.0,18,0,15,1990
14367,larini,0.0,19,0,15,1990
14368,donnelly,0.0,20,0,15,1990
14369,martini,0.0,21,0,15,1990
14370,foitek,0.0,22,0,15,1990
14371,alliot,0.0,23,0,15,1990
14372,alboreto,0.0,24,0,15,1990
14373,dalmas,0.0,25,0,15,1990
14374,pirro,0.0,26,0,15,1990
14375,cesaris,0.0,27,0,15,1990
14376,barilla,0.0,28,0,15,1990
14377,lehto,0.0,29,0,15,1990
14378,schneider,0.0,30,0,15,1990
14379,senna,78.0,1,6,16,1990
14380,prost,71.0,2,5,16,1990
14381,piquet,43.0,3,2,16,1990
14382,berger,43.0,4,0,16,1990
14383,mansell,37.0,5,1,16,1990
14384,boutsen,34.0,6,1,16,1990
14385,patrese,23.0,7,1,16,1990
14386,nannini,21.0,8,0,16,1990
14387,alesi,13.0,9,0,16,1990
14388,capelli,6.0,10,0,16,1990
14389,moreno,6.0,11,0,16,1990
14390,suzuki,6.0,12,0,16,1990
14391,bernard,5.0,13,0,16,1990
14392,warwick,3.0,14,0,16,1990
14393,satoru_nakajima,3.0,15,0,16,1990
14394,caffi,2.0,16,0,16,1990
14395,modena,2.0,17,0,16,1990
14396,gugelmin,1.0,18,0,16,1990
14397,larini,0.0,19,0,16,1990
14398,donnelly,0.0,20,0,16,1990
14399,martini,0.0,21,0,16,1990
14400,foitek,0.0,22,0,16,1990
14401,alliot,0.0,23,0,16,1990
14402,alboreto,0.0,24,0,16,1990
14403,dalmas,0.0,25,0,16,1990
14404,pirro,0.0,26,0,16,1990
14405,cesaris,0.0,27,0,16,1990
14406,barilla,0.0,28,0,16,1990
14407,lehto,0.0,29,0,16,1990
14408,schneider,0.0,30,0,16,1990
14409,senna,10.0,1,1,1,1991
14410,prost,6.0,2,0,1,1991
14411,piquet,4.0,3,0,1,1991
14412,modena,3.0,4,0,1,1991
14413,satoru_nakajima,2.0,5,0,1,1991
14414,suzuki,1.0,6,0,1,1991
14415,larini,0.0,7,0,1,1991
14416,tarquini,0.0,8,0,1,1991
14417,martini,0.0,9,0,1,1991
14418,gachot,0.0,10,0,1,1991
14419,brundle,0.0,11,0,1,1991
14420,alesi,0.0,12,0,1,1991
14421,hakkinen,0.0,13,0,1,1991
14422,patrese,0.0,14,0,1,1991
14423,moreno,0.0,15,0,1,1991
14424,alboreto,0.0,16,0,1,1991
14425,capelli,0.0,17,0,1,1991
14426,boutsen,0.0,18,0,1,1991
14427,berger,0.0,19,0,1,1991
14428,mansell,0.0,20,0,1,1991
14429,gugelmin,0.0,21,0,1,1991
14430,blundell,0.0,22,0,1,1991
14431,pirro,0.0,23,0,1,1991
14432,morbidelli,0.0,24,0,1,1991
14433,lehto,0.0,25,0,1,1991
14434,bernard,0.0,26,0,1,1991
14435,caffi,0.0,27,0,1,1991
14436,johansson,0.0,28,0,1,1991
14437,comas,0.0,29,0,1,1991
14438,bailey,0.0,30,0,1,1991
14439,senna,20.0,1,2,2,1991
14440,prost,9.0,2,0,2,1991
14441,patrese,6.0,3,0,2,1991
14442,piquet,6.0,4,0,2,1991
14443,berger,4.0,5,0,2,1991
14444,modena,3.0,6,0,2,1991
14445,satoru_nakajima,2.0,7,0,2,1991
14446,alesi,1.0,8,0,2,1991
14447,suzuki,1.0,9,0,2,1991
